1,300
2,500
3,600
4,700
5,800
6,800
7,900
8,1100
9,1400
10,1500
11,1700
12,2000
13,2300
14,2500
15,2800
16,3200
17,3600
18,5500
19,4200
20,4700
21,5100
22,28300
23,6800
24,6500
25,7100
26,8300
27,8200
28,8700
29,9900
30,10100
31,11300
32,11700
33,12500
34,52000
35,14300
36,15000
37,14900
38,16400
39,16900
40,18000
41,21100
42,19100
43,20300
44,23700
45,22200
46,23400
47,24200
48,25500
49,26200
50,27500
51,28400
52,30400
53,30400
54,53000
55,70600
56,35800
57,58300
58,36500
59,37800
60,38600
61,40300
62,41700
63,43000
64,44400
65,45600
66,46700
67,48700
68,49700
69,51200
70,52700
71,54000
72,55700
73,57800
74,58800
75,61800
76,86500
77,63800
78,64400
79,108300
80,21600
81,15000
82,28400
83,22400
84,13000
85,13800
86,13500
87,14400
88,14100
89,18800
90,14700
91,15600
92,28700
93,31700
94,30100
95,25500
96,28800
97,29600
98,30100
99,29700
100,30000
101,29800
102,35500
103,25600
104,34800
105,21300
106,34100
107,22500
108,39600
109,31800
110,23900
111,44100
112,42000
113,44100
114,25500
115,25300
116,25800
117,26800
118,27800
119,53100
120,55200
121,55300
122,55900
123,55600
124,31300
125,31400
126,47000
127,32600
128,47400
129,40900
130,45900
131,53800
132,44500
133,52900
134,47000
135,52700
136,43700
137,60100
138,74800
139,77300
140,74100
141,75600
142,78700
143,79000
144,79400
145,83600
146,67700
147,56300
148,47200
149,48200
150,129900
151,81100
152,97500
153,278400
154,95500
155,118400
156,177400
157,145200
158,169000
159,187600
160,143200
161,113500
162,87600
163,79100
164,83600
165,95000
166,74800
167,137200
168,77300
169,87700
170,74300
171,102600
172,174800
173,122300
174,123700
175,82000
176,102500
177,142100
178,128100
179,80900
180,74700
181,75600
182,12700
183,18400
184,19800
185,21400
186,20800
187,20600
188,20400
189,21100
190,24900
191,21500
192,22900
193,23000
194,24900
195,24900
196,23800
197,24100
198,23500
199,26100
200,24600
201,24800
202,28500
203,25100
204,27600
205,26300
206,25600
